posted by,post url,tagged users,tagged users followers,tags,tag post totals,comments,likes
cristiano,https://www.instagram.com/p/BxYMKVjAj0Z/,null,0,['finoallafine'],[2034640],28900,5098731
cristiano,https://www.instagram.com/p/BxR4_0LAFyG/,null,0,[],[0],31000,5301028
cristiano,https://www.instagram.com/p/BxKEAdrgKiY/,null,0,['pestanacr7'],[12436],42300,7157581
cristiano,https://www.instagram.com/p/BxBCZkZg39M/,null,0,['finoallafine'],[2034640],28100,4580564
cristiano,https://www.instagram.com/p/Bw5BLO8gj3h/,cr7_footwear,1100000,[],[0],29700,3771284
cristiano,https://www.instagram.com/p/Bw4oZrMgA2k/,null,0,['TopTraining'],[20101],18400,4224793
cristiano,https://www.instagram.com/p/BwzC96LggFK/,nikefootball,37700000,[],[0],46900,7048967
cristiano,https://www.instagram.com/p/BwumY9ZAY9K/,null,0,[],[0],13100,3248157
cristiano,https://www.instagram.com/p/Bwt33YNgXSu/,null,0,[],[0],55200,8782995
selenagomez,https://www.instagram.com/p/BxYfWLaAMnM/,null,0,[],[0],26700,4717402
selenagomez,https://www.instagram.com/p/BxOLH2ZgbV2/,null,0,['followme'],[481056176],58800,5641286
selenagomez,https://www.instagram.com/p/Bw9_ilQAOWM/,krahs,365000,[],[0],152100,11489036
selenagomez,https://www.instagram.com/p/Bw7MF0yAnHZ/,oprah,16200000,[],[0],22500,3568235
selenagomez,https://www.instagram.com/p/Bw2Q-cxANIV/,null,0,['90svintage'],[364957],25100,5405003
selenagomez,https://www.instagram.com/p/BwNMDqvAQ7_/,null,0,[],[0],69100,6830455
selenagomez,https://www.instagram.com/p/Bv4q6GPAeML/,null,0,[],[0],183400,11874479
selenagomez,https://www.instagram.com/p/BvpKdVmggr4/,coach,3800000,['CoachNY'],[74344],44600,4380808
selenagomez,https://www.instagram.com/p/Bvkm1bkAfWv/,null,0,['Haverdade'],[14],73200,5943637
kyliejenner,https://www.instagram.com/p/BxamesynZfd/,null,0,[],[0],10000,713342
kyliejenner,https://www.instagram.com/p/BxXuVnlHUmh/,null,0,[],[0],75500,5409551
kyliejenner,https://www.instagram.com/p/BxXt33iHWkB/,null,0,['COMINGSOON'],[15354283],539,2102408
kyliejenner,https://www.instagram.com/p/BxXtGbtn8Lz/,null,0,[],[0],898,3255212
kyliejenner,https://www.instagram.com/p/BxXhAYgH8Ge/,sashasamsonova,586000,['HappyMothersDay'],[9716748],19200,5736617
kyliejenner,https://www.instagram.com/p/BxV2TqtHYtm/,kylieskin,1000000,['KYLIESKIN'],[2537],33200,1291882
kyliejenner,https://www.instagram.com/p/BxS6-XyHSE8/,null,0,"['KylieSkin', 'healthylifestyle']","[2537, 47311156]",72200,5066032
kyliejenner,https://www.instagram.com/p/BxN6vF6H5Oy/,null,0,[],[0],97300,3705964
kyliejenner,https://www.instagram.com/p/BxMKDNyHeUa/,versace,17800000,[],[0],55900,4615472
kyliejenner,https://www.instagram.com/p/BxK4qQynh99/,null,0,['healthylifestyle'],[47311157],53200,6044283
leomessi,https://www.instagram.com/p/BxFc58nFwpN/,null,0,[],[0],60600,8027466
leomessi,https://www.instagram.com/p/BxFQvSClQLT/,null,0,[],[0],18000,3433951
leomessi,https://www.instagram.com/p/BxCljwiFN-F/,null,0,[],[0],55000,7731739
leomessi,https://www.instagram.com/p/Bw_y8PGFL3h/,xavi,3100000,[],[0],15700,3923092
leomessi,https://www.instagram.com/p/Bw76bHQlyDE/,null,0,[],[0],153800,9520783
leomessi,https://www.instagram.com/p/BwxoMQflAf6/,null,0,[],[0],95000,10241857
leomessi,https://www.instagram.com/p/BwrsbCaFIE4/,miguelruizfcb,1500000,[],[0],15200,4032622
