username,followers
cristiano,165m
selenagomez,149m
kyliejenner,134m
leomessi,117m
arianagrande,153m
kimkardashian,137m
beyonce,127m
therock,141m
instagram,298m
kendalljenner,109m
neymarjr,115m
khloekardashian,92.6m
ddlovato,71.6m
justinbieber,111m
taylorswift,117m
mileycyrus,92.5m
badgalriri,70.3m
kourtneykardash,77.6m
nickiminaj,102m
billieeilish,21.4m
shawnmendes,43.8m
lelepons,34.3m
emmawatson,50.6m
robertdowneyjr,36.3m
zayn,30.4m
iamcardib,44.4m
tomholland2013,17.7m
deepikapadukone,34.6m
virat.kohli,32.9m
lilireinhart,17.1m
gigihadid,47.5m
fcbarcelona,69.6m
aliaabhatt,32.7m
zacefron,39.1m
jamesrodriguez10,41.3m
chrishemsworth,31.4m
davidbeckham,55.4m
emilia_clarke,21.7m
realmadrid,71.4m
lalalalisa_m,19m
kingjames,48.9m
paulodybala,29.6m
vancityreynolds,29.9m
champagnepapi,56.8m
vindiesel,54.1m
zendaya,55.4m
jamescharles,16.2m
maluma,41.7m
nike,87.3m
camimendes,17.1m
